CLAVE_CASILLA;TOTAL_BOLETAS_SOBRANTES;TOTAL_PERSONAS_VOTARON;TOTAL_REP_PARTIDO_CI_VOTARON;TOTAL_VOTOS_SACADOS;PAN;PRI;PRD;PVEM;PT;UDC;MORENA;C_PAN_PRI_PRD;C_PAN_PRI;C_PAN_PRD;C_PRI_PRD;C_PVEM_UDC;NO_REGISTRADAS;NULOS;TOTAL_VOTOS_ASENTADO;TOTAL_VOTOS_CALCULADO;LISTA_NOMINAL;REPRESENTANTES_PP_CI
'050091C0100;238;405;4;409;5;197;6;11;95;6;75;4;3;0;0;1;0;6;409;409;651;16
'050092B0100;159;265;2;265;9;108;5;7;76;7;39;2;2;1;1;0;0;8;265;265;411;16
'050092C0100;156;265;5;270;5;96;1;5;86;8;60;2;0;0;1;0;0;6;270;270;410;16
'050093B0100;302;396;2;398;17;199;4;6;79;4;84;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;5;398;398;684;16
'050094B0100;0;0;0;322;14;128;4;6;89;2;68;1;1;0;2;SIN DATO;SIN DATO;7;322;322;550;16
'050094C0100;256;308;2;310;9;125;2;8;91;7;55;5;2;0;1;2;0;3;310;310;550;16
'050094C0200;268;296;2;298;6;109;5;7;100;9;54;4;0;0;2;0;0;2;298;298;550;16
'050096B0100;208;350;5;355;6;144;4;9;90;12;79;4;1;0;0;0;0;6;355;355;547;16
'050096C0100;242;317;3;320;15;128;6;8;77;8;70;4;1;0;0;0;0;3;320;320;546;16
'050096C0200;193;366;3;369;19;170;4;7;90;3;66;1;0;0;0;0;0;9;369;369;546;16
'050097B0100;116;247;5;252;2;89;5;8;23;2;115;1;0;0;1;0;1;5;252;252;352;16
'050098B0100;78;133;3;136;6;58;5;SIN DATO;35;2;24;1;1;SIN DATO;1;SIN DATO;SIN DATO;3;136;136;198;16
'050102B0100;68;86;3;86;0;34;1;0;5;0;42;0;0;0;0;0;0;4;86;86;138;16
'050104B0100;79;85;2;87;2;35;0;0;4;1;42;0;0;0;0;0;0;3;87;87;150;16
'050105B0100;52;95;4;99;2;51;1;0;10;0;30;1;1;0;0;0;0;3;99;99;135;16
'050106B0100;81;129;1;130;2;70;1;SIN DATO;15;1;37;0;0;0;0;0;0;4;0;130;196;16
'050108B0100;121;217;2;219;5;107;0;3;12;8;79;1;1;0;0;0;0;3;219;219;324;16
'051568B0100;206;278;4;0;13;111;5;10;82;3;52;0;0;0;0;0;0;5;282;281;472;16
'051568C0100;195;286;4;0;10;125;3;0;81;6;53;2;0;0;0;0;0;3;0;283;471;16
'051569B0100;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;0;513;16
'051569C0100;180;273;4;277;14;125;5;7;57;5;56;0;3;0;0;0;0;5;277;277;441;16
'051570B0100;185;296;3;299;9;142;2;6;80;3;54;2;0;0;0;0;0;6;299;304;472;16
'051570C0100;198;285;2;290;6;126;1;10;61;4;69;2;0;0;1;0;0;10;290;290;472;16
'050110B0100;0;291;2;0;26;150;4;2;65;2;35;3;1;0;1;1;0;3;293;293;484;16
'050110C0100;224;273;2;275;17;165;3;2;53;3;23;3;2;1;0;0;0;3;275;275;483;16
'050111B0100;276;445;2;447;55;212;12;3;110;5;34;8;3;0;0;0;0;5;447;447;707;16
'050112B0100;0;0;0;401;28;205;2;2;102;1;42;7;2;0;0;0;0;10;401;401;660;16
'050113B0100;272;419;5;424;19;214;5;8;102;20;46;2;0;0;1;0;0;7;424;424;680;16
'050113C0100;296;396;3;399;18;196;7;3;87;13;50;5;5;0;2;1;0;9;399;396;679;16
'050114B0100;172;229;3;232;24;117;3;1;61;3;11;5;6;0;0;0;0;1;232;232;388;16
'050114C0100;197;204;3;207;14;104;3;4;41;13;18;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;207;207;388;16
'050115B0100;334;422;6;428;31;214;5;4;106;11;44;6;2;0;1;0;0;4;428;428;748;16
'050116B0100;343;347;0;347;18;180;9;5;72;8;46;4;1;1;SIN DATO;SIN DATO;SIN DATO;3;347;347;674;16
'050116C0100;327;357;5;362;23;196;6;8;62;4;55;2;0;0;1;0;0;5;362;362;673;16
'050116C0200;352;336;1;337;22;196;10;2;52;5;44;3;1;0;0;0;0;2;337;337;673;16
'050116C0300;320;365;4;369;25;194;13;1;71;7;48;3;4;SIN DATO;1;SIN DATO;SIN DATO;2;369;369;673;16
'050119B0100;58;64;2;64;9;30;SIN DATO;1;5;SIN DATO;14;1;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;2;64;64;106;16
'050121B0100;55;80;3;83;4;49;1;0;5;2;21;0;0;0;0;0;0;1;83;83;122;16
'050122B0100;102;143;3;146;11;86;SIN DATO;1;18;SIN DATO;22;2;4;SIN DATO;SIN DATO;SIN DATO;SIN DATO;2;146;146;232;16
'050123B0100;235;296;0;0;11;139;2;12;32;25;47;12;1;0;1;1;SIN DATO;13;296;296;515;16
'050124B0100;69;118;4;122;3;93;0;1;5;1;17;2;0;0;0;0;0;0;122;122;175;16
'050125B0100;65;57;3;60;8;36;0;1;1;1;12;0;0;0;0;0;0;1;60;60;109;16
'050126B0100;94;60;2;62;8;36;3;2;3;0;6;0;2;1;0;0;0;1;62;62;140;16
'050126E0100;134;122;3;125;5;98;0;0;2;0;17;1;0;0;0;0;0;2;125;125;243;16
'050127B0100;96;139;2;141;7;87;1;1;35;0;9;1;0;0;0;0;0;0;141;141;221;16
'050128B0100;92;129;0;129;3;74;0;1;42;0;5;1;0;0;0;0;0;3;129;129;205;16
'050129B0100;171;171;4;175;1;103;0;0;28;0;37;3;0;0;1;0;0;2;175;175;330;16
'050130B0100;293;317;0;317;5;171;7;1;80;5;43;4;0;0;0;0;0;1;317;317;594;16
'050130C0100;283;325;1;326;5;154;13;0;78;3;61;4;1;0;1;0;1;5;326;326;593;16
'050130C0200;280;328;1;329;8;199;4;3;56;2;41;6;4;SIN DATO;SIN DATO;SIN DATO;SIN DATO;6;329;329;593;16
'050131B0100;258;464;3;466;1;200;16;2;16;8;197;6;3;0;1;0;3;13;466;466;709;16
'050131C0100;0;433;1;0;3;160;23;1;13;7;208;0;0;0;0;0;0;17;434;432;709;16
'050131C0200;271;452;2;0;0;218;18;3;14;6;180;3;SIN DATO;2;SIN DATO;SIN DATO;SIN DATO;9;453;453;708;16
'050132B0100;230;377;4;381;2;180;9;3;18;7;148;1;0;0;0;2;0;8;381;378;595;16
'050132C0100;238;367;6;373;5;159;19;5;11;7;155;5;2;0;1;0;0;4;373;373;595;16
'050132C0200;229;380;2;380;4;144;18;2;25;7;168;4;1;0;0;0;0;7;380;380;594;16
'050133B0100;171;233;5;238;8;114;1;0;20;3;86;1;2;0;1;0;0;2;238;238;393;16
'050133C0100;153;251;4;255;6;109;3;3;14;2;114;1;1;0;0;0;0;2;255;255;392;16
'050134B0100;277;361;5;366;2;156;3;2;26;7;157;3;2;0;0;0;0;8;366;366;627;16
'050134C0100;255;383;3;388;5;170;8;7;28;10;149;3;0;0;0;0;0;8;388;388;627;16
'050134C0200;234;407;2;409;6;163;14;7;34;12;165;2;2;1;0;1;0;2;409;409;627;16
'050134C0300;243;400;0;400;3;188;5;1;29;15;150;2;0;0;0;2;0;5;400;400;627;16
'050134C0400;238;405;0;405;2;173;11;2;31;10;168;2;2;0;0;0;1;3;405;405;627;16
'050135B0100;177;370;2;372;4;157;5;1;50;6;135;4;2;0;1;0;0;7;372;372;533;16
'050135C0100;177;369;3;372;7;155;1;8;36;8;150;3;0;0;0;0;0;4;372;372;533;16
'050135C0200;173;376;2;0;9;176;4;2;32;6;140;1;4;0;0;0;0;2;374;376;533;16
'050136B0100;164;229;2;331;8;117;5;3;34;3;151;3;4;0;0;0;0;3;331;331;479;16
'050136C0100;153;342;3;345;9;146;3;4;37;4;126;4;0;0;0;0;0;9;0;342;479;16
'050137B0100;243;316;3;319;15;144;8;4;26;3;111;0;0;0;0;0;0;8;319;319;546;16
'050137C0100;239;319;4;323;5;139;8;1;20;8;125;4;0;0;1;0;0;12;323;323;546;16
'050137C0200;226;330;5;335;9;163;5;7;22;6;116;3;0;0;0;0;0;4;335;335;545;16
'050138B0100;258;487;1;487;10;220;11;6;55;7;170;3;SIN DATO;SIN DATO;1;SIN DATO;SIN DATO;4;487;487;729;16
'050138C0100;270;473;2;475;16;211;14;5;37;18;160;0;5;0;0;0;0;9;475;475;729;16
'050139B0100;162;301;4;305;2;128;1;3;27;4;122;6;2;0;0;0;0;8;305;303;451;16
'050139C0100;0;0;0;0;4;131;5;2;27;8;130;3;1;0;0;0;1;11;323;323;451;16
'050140B0100;198;286;1;286;12;109;2;2;32;11;105;3;1;2;1;1;0;6;286;287;468;16
'050140S0100;652;364;0;364;6;132;9;8;44;21;134;3;2;0;0;1;0;4;364;364;0;16
'050141B0100;142;276;1;277;6;121;3;1;20;13;105;4;1;0;0;0;0;3;277;277;403;16
'050141C0100;145;270;6;275;2;119;2;3;18;8;116;1;2;0;1;0;0;3;275;275;403;16
'050142B0100;174;312;2;314;9;110;9;1;32;8;130;6;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;312;312;472;16
'050142C0100;143;337;4;344;5;153;7;4;21;7;125;6;4;1;0;1;0;10;344;344;471;16
'050143B0100;178;380;2;382;10;160;6;2;39;11;143;4;5;0;0;0;0;2;382;382;544;16
'050143C0100;193;363;4;367;6;162;9;1;41;17;120;4;1;0;0;0;0;6;367;367;544;16
'050143C0200;218;342;2;342;9;153;8;3;35;9;116;5;0;0;0;0;0;4;342;342;544;16
'050144B0100;276;466;4;466;7;204;14;1;50;14;164;3;0;0;0;1;0;8;466;466;726;16
'050144C0100;256;482;4;0;10;223;11;3;41;15;158;14;0;1;0;2;0;8;486;486;726;16
'050145B0100;285;428;2;430;4;188;3;1;31;9;180;2;5;0;0;0;0;7;430;430;699;16
'050145C0100;272;438;5;443;4;212;7;4;24;17;158;3;2;0;1;0;0;11;443;443;699;16
'050146B0100;169;386;0;386;0;163;19;1;25;14;156;1;1;0;1;0;0;5;386;386;540;16
'050146C0100;181;374;1;375;0;142;25;1;33;7;158;1;1;0;1;0;2;4;375;375;540;16
'050146C0200;158;392;2;0;1;178;13;5;35;9;149;0;0;0;0;0;0;6;397;396;539;16
'050147B0100;364;393;0;393;3;168;8;2;27;20;156;5;0;0;0;1;0;3;393;393;741;16
'050147C0100;377;379;0;379;1;166;5;2;29;12;144;5;1;0;0;0;1;13;379;379;741;16
'050147C0200;336;420;1;421;6;197;5;3;35;19;146;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;10;421;421;741;16
'050147C0300;395;361;1;362;1;171;9;4;29;19;113;4;2;0;1;0;0;9;362;362;741;16
'050147C0400;356;0;0;400;8;174;8;4;33;11;142;7;5;1;SIN DATO;1;SIN DATO;6;400;400;740;16
'050148B0100;301;402;1;403;5;201;8;2;19;9;144;2;1;0;1;1;1;9;403;403;688;16
'050148C0100;0;0;0;419;1;215;6;8;32;14;119;5;3;SIN DATO;SIN DATO;1;SIN DATO;9;419;413;688;16
'050148C0200;276;427;3;427;5;208;5;4;21;12;149;1;6;0;1;0;0;15;427;427;688;16
'050149B0100;149;170;1;171;1;61;0;0;9;1;93;0;0;0;0;0;0;6;171;171;304;16
'050150B0100;168;266;1;266;7;137;0;1;9;6;92;0;0;0;0;0;0;5;257;257;419;16
'050151B0100;47;74;1;75;1;47;1;0;0;1;24;1;0;0;0;0;0;0;75;75;106;16
'050152B0100;178;478;6;0;3;282;1;3;8;17;156;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;5;478;478;640;16
'050153B0100;194;317;1;0;7;164;2;3;38;1;85;5;4;0;1;SIN DATO;SIN DATO;8;318;318;497;16
'050154B0100;265;468;7;475;8;259;5;12;4;41;115;9;3;0;0;0;0;19;475;475;724;16
'050155B0100;128;268;0;268;3;142;0;1;8;3;96;11;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;0;273;380;16
'050156B0100;132;351;0;351;0;166;2;2;7;14;143;1;0;0;1;0;0;15;351;351;467;16
'050157B0100;132;287;1;288;3;123;4;3;11;2;128;1;1;1;0;0;0;11;288;288;404;16
'050157C0100;133;286;0;286;2;114;16;2;17;5;119;6;0;0;0;0;0;5;286;286;403;16
'050158B0100;145;384;5;0;1;200;14;5;34;24;104;0;0;0;0;0;0;8;380;390;513;16
'050159B0100;213;306;5;311;4;110;5;6;14;24;134;2;1;1;0;0;0;10;111;311;508;16
'050159C0100;179;344;4;0;2;127;0;5;21;14;141;0;1;0;0;2;0;19;343;332;507;16
'050160B0100;132;324;0;324;2;175;28;0;3;4;96;3;1;0;6;0;6;6;324;330;440;16
'050161B0100;244;500;1;501;15;244;8;5;23;4;181;12;2;0;0;0;0;7;501;501;729;16
'050162B0100;220;492;0;492;3;219;2;1;43;9;205;1;2;0;1;0;0;6;492;492;696;16
'050162C0100;229;483;1;484;0;218;8;7;27;13;206;0;0;0;0;0;0;5;484;484;696;16
'050163B0100;244;460;0;460;2;221;16;4;15;1;182;2;2;4;0;0;0;11;460;460;688;16
'050164B0100;154;357;5;0;2;168;18;6;8;3;138;5;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;14;362;362;500;16
'050165B0100;255;472;1;473;3;242;17;0;19;2;175;2;0;0;1;0;0;12;473;473;712;16
'050166B0100;153;243;2;245;5;91;6;2;6;4;127;2;1;0;0;0;0;1;245;245;382;16
'050166C0100;136;261;261;261;2;116;5;4;23;3;92;SIN DATO;2;SIN DATO;1;SIN DATO;SIN DATO;13;261;261;382;16
'050167B0100;107;182;182;182;6;94;2;2;9;2;57;7;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;182;182;273;16
'050168B0100;250;393;4;397;12;135;4;1;31;9;182;3;3;0;0;1;0;16;397;397;631;16
'050168C0100;239;408;6;408;12;167;5;1;29;9;160;5;3;0;0;1;0;16;408;408;631;16
'050169B0100;196;348;0;348;21;147;1;4;25;7;127;10;0;0;0;0;0;6;348;348;528;16
'050169C0100;0;341;6;0;11;152;2;3;22;7;132;7;1;0;0;0;0;10;347;347;528;16
'050169C0200;198;345;1;692;7;141;7;3;27;18;130;2;1;SIN DATO;2;SIN DATO;SIN DATO;8;346;346;528;16
'050170B0100;188;347;0;347;6;216;6;2;16;8;81;1;1;0;0;0;0;10;347;347;519;16
'050171B0100;149;410;2;412;1;200;5;2;13;6;174;1;4;0;0;0;0;6;412;412;545;16
'050171C0100;164;0;3;399;2;161;15;3;9;2;192;0;2;0;0;0;SIN DATO;13;0;399;544;16
'050172B0100;146;458;6;464;4;194;23;1;12;9;208;1;1;1;1;0;0;10;464;465;594;16
'050173B0100;0;0;0;299;10;104;3;0;90;8;72;4;1;1;0;1;0;5;299;299;732;16
'050173C0100;0;0;0;291;14;123;6;5;59;6;62;10;0;0;0;0;0;7;291;292;731;16
'050173C0200;0;0;0;311;16;113;5;1;83;6;75;5;0;0;1;1;0;6;311;312;731;16
'050173C0300;414;320;4;0;17;123;1;3;87;10;70;2;2;SIN DATO;1;SIN DATO;SIN DATO;4;0;320;731;16
'050173C0400;414;329;5;334;19;118;4;5;93;5;72;2;6;SIN DATO;SIN DATO;1;SIN DATO;4;334;329;731;16
'050173C0500;424;321;2;323;7;128;5;2;97;11;60;7;2;0;0;0;0;4;323;323;731;16
'050173C0600;431;312;4;316;12;130;2;17;76;0;67;2;4;0;0;0;0;6;316;316;731;16
'050173C0700;435;312;3;312;12;130;4;1;76;2;74;5;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;5;0;312;731;16
'050173C0800;418;325;4;0;11;126;6;3;75;10;80;4;4;0;1;0;0;9;329;329;731;16
'050174B0100;278;383;0;383;17;164;1;8;90;9;77;2;4;SIN DATO;1;SIN DATO;SIN DATO;10;383;383;646;16
'050174C0100;293;369;3;369;16;160;6;5;107;1;67;0;0;0;0;0;0;8;369;370;646;16
'050174C0200;321;342;0;342;16;137;4;2;95;9;70;1;1;0;0;0;0;5;340;340;645;16
'050174C0300;8;349;1;350;12;151;3;2;89;3;77;4;SIN DATO;SIN DATO;SIN DATO;1;SIN DATO;8;350;350;645;16
'050174C0400;310;351;0;351;12;143;12;1;99;9;78;2;3;0;0;0;0;5;354;364;645;16
'050175B0100;337;303;3;302;11;110;3;5;77;4;78;5;0;0;0;0;0;9;302;302;627;16
'050175C0100;303;333;5;336;11;133;2;9;80;7;85;5;3;0;0;0;1;4;340;340;627;16
'050175C0200;325;32;4;314;13;122;1;4;70;13;79;6;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;314;311;627;16
'050175C0300;337;303;2;305;3;135;3;2;73;4;75;5;0;0;0;0;0;5;305;305;626;16
'050175C0400;352;290;0;290;7;131;2;1;63;5;62;5;0;0;0;SIN DATO;SIN DATO;14;290;290;626;16
'050175C0500;322;319;1;320;8;118;3;3;92;9;81;2;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;320;320;626;16
'050176B0100;345;341;2;340;16;148;1;1;82;8;70;5;2;1;0;0;0;5;340;339;667;16
'050176C0100;317;365;2;366;14;136;1;0;103;5;89;9;0;0;0;0;0;9;366;366;666;16
'050176C0200;313;366;2;369;20;145;2;4;107;2;81;3;1;0;0;1;0;3;369;369;666;16
'050177B0100;277;323;4;323;14;128;7;3;92;2;61;5;0;0;0;2;SIN DATO;9;323;323;584;16
'050177C0100;249;349;2;348;11;131;3;3;92;11;86;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;11;348;348;584;16
'050177C0200;263;334;3;337;13;143;6;1;100;3;63;3;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;337;333;584;16
'050178B0100;211;307;3;311;18;110;4;4;89;10;69;3;1;0;0;1;0;2;311;311;505;16
'050178C0100;211;306;4;309;11;121;1;4;80;6;74;4;2;0;0;2;0;4;309;309;505;16
'050178C0200;219;297;4;301;11;117;2;4;68;7;78;4;5;0;2;0;0;3;301;301;504;16
'050179B0100;289;404;3;408;31;160;5;5;86;6;98;7;4;SIN DATO;1;SIN DATO;SIN DATO;5;408;408;681;16
'050179C0100;0;0;0;0;29;161;12;5;84;3;105;6;2;0;0;0;0;8;415;415;680;16
'050180B0100;334;368;3;368;20;168;8;2;80;3;81;2;2;SIN DATO;SIN DATO;1;SIN DATO;1;368;368;686;16
'050180C0100;317;385;6;385;13;171;2;3;82;7;88;7;4;0;1;0;SIN DATO;7;385;385;686;16
'050181B0100;269;369;4;375;20;147;13;1;102;7;71;6;2;0;3;0;0;4;376;376;626;16
'050181C0100;253;387;5;384;23;169;13;6;91;9;60;4;1;0;0;1;0;6;384;383;625;16
'050182B0100;201;275;4;279;19;99;2;2;76;6;60;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;6;279;270;465;16
'050182C0100;234;246;4;0;12;109;1;2;56;2;55;2;4;0;0;0;0;4;243;247;464;16
'050183B0100;264;379;3;393;14;168;1;3;124;8;65;4;4;0;0;0;0;6;384;397;635;16
'050183C0100;295;355;1;356;12;134;13;4;116;5;61;4;1;0;0;0;0;6;356;356;635;16
'050184B0100;315;390;5;390;20;128;12;5;116;4;84;7;4;SIN DATO;1;1;SIN DATO;8;390;390;692;16
'050184C0100;308;398;2;400;14;158;2;4;122;12;74;3;4;0;0;1;0;6;400;400;692;16
'050185B0100;231;293;4;297;24;102;5;1;81;2;73;5;2;0;0;0;0;2;297;297;512;16
'050185C0100;237;284;5;289;8;116;2;2;82;4;69;2;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;3;289;289;511;16
'050185C0200;218;301;8;309;25;121;1;2;83;8;61;2;3;0;0;1;SIN DATO;2;309;309;511;16
'050186B0100;183;251;5;256;28;98;3;0;48;4;60;7;4;0;1;0;SIN DATO;3;256;256;423;16
'050186C0100;180;257;1;258;31;115;3;1;46;3;50;2;0;0;0;1;0;6;258;258;422;16
'050187B0100;262;312;4;316;23;132;1;3;68;8;76;2;1;0;1;0;0;1;316;316;563;16
'050187C0100;235;341;2;346;22;169;3;1;80;5;58;2;2;0;1;0;0;3;346;346;563;16
'050187C0200;232;342;5;3;35;142;4;4;75;11;56;5;3;0;2;0;0;9;347;346;563;16
'050188B0100;230;360;1;361;24;180;3;3;68;6;59;7;5;0;1;0;0;5;361;361;577;16
'050188C0100;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;Sin Acta;576;16
'050189B0100;222;302;1;0;9;114;4;3;85;3;77;4;1;0;0;0;0;3;303;303;509;16
'050189C0100;233;289;1;292;12;119;3;2;79;6;64;2;2;0;0;0;0;3;292;292;509;16
'050190B0100;192;243;4;247;12;93;3;0;57;4;69;4;1;0;0;0;0;4;247;247;424;16
'050190C0100;192;244;5;0;19;89;4;2;47;7;67;6;2;0;0;0;0;4;247;247;423;16
'050191B0100;329;0;0;0;14;148;5;3;70;3;64;5;4;SIN DATO;1;SIN DATO;SIN DATO;4;321;321;633;16
'050191C0100;321;326;1;326;5;131;12;34;79;6;72;9;2;SIN DATO;2;SIN DATO;SIN DATO;4;300;356;633;16
'050191C0200;305;344;2;341;15;144;4;2;80;7;78;5;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;6;0;341;633;16
'050191C0300;304;344;3;344;23;162;7;76;4;60;2;2;0;1;0;1;2;2;344;342;632;16
'050192B0100;246;343;2;345;9;147;1;3;85;4;81;3;5;0;0;0;0;7;345;345;575;16
'050192C0100;244;344;2;0;20;144;5;4;89;5;67;2;6;0;1;0;0;1;344;344;574;16
'050192C0200;268;321;1;324;11;136;2;3;81;9;70;1;2;2;0;0;0;6;324;323;574;16
'050193B0100;342;383;0;383;16;134;0;0;104;7;99;1;3;1;1;1;0;11;361;378;709;16
'050193C0100;314;408;2;412;19;163;5;3;89;4;101;5;3;0;1;2;0;17;412;412;708;16
'050194B0100;235;372;2;374;31;193;1;6;60;11;58;4;3;0;0;3;0;4;374;374;593;16
'050195B0100;238;331;2;334;30;124;15;3;74;5;69;6;4;0;0;0;0;2;334;332;557;16
'050195C0100;233;338;2;340;34;143;11;3;73;8;56;6;3;0;2;0;0;1;340;340;556;16
'050196B0100;189;244;2;245;9;107;3;3;59;3;53;3;0;0;0;0;0;5;243;245;419;16
'050196C0100;200;234;3;234;9;96;3;3;79;5;37;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;2;234;234;418;16
'050197B0100;234;275;2;277;14;124;0;5;75;5;43;4;0;0;0;0;0;7;277;277;495;16
'050197C0100;202;304;3;307;20;111;1;1;74;7;84;3;1;0;0;3;0;2;307;307;494;16
'050198B0100;222;317;2;319;9;147;4;3;62;3;82;3;3;0;0;1;0;2;319;319;525;16
'050198C0100;249;290;2;292;16;123;3;0;63;5;70;2;3;0;0;0;0;7;292;292;525;16
'050198C0200;234;306;1;306;8;132;5;4;71;6;73;2;1;0;0;0;0;4;306;306;525;16
'050199B0100;305;348;1;348;15;122;3;4;92;8;91;0;3;0;0;0;0;10;348;348;637;16
'050199C0100;301;347;4;351;15;140;0;3;100;10;75;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;0;343;636;16
'050200B0100;330;389;4;391;23;148;1;4;98;5;95;7;5;0;0;2;SIN DATO;3;391;391;708;16
'050200C0100;347;370;6;0;17;141;2;1;99;4;100;2;4;1;0;0;1;7;379;379;707;16
'050201B0100;160;252;2;254;11;113;4;0;58;2;62;1;0;0;0;0;0;3;254;254;398;16
'050201C0100;162;249;3;252;3;123;0;3;55;5;56;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;252;252;398;16
'050202B0100;256;349;2;351;7;174;2;2;91;2;54;8;5;SIN DATO;1;SIN DATO;SIN DATO;3;349;349;589;16
'050202C0100;287;317;1;318;6;148;7;4;84;1;62;2;1;1;0;0;0;2;318;318;589;16
'050203B0100;0;0;0;68;14;115;5;0;68;10;91;3;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;7;313;313;567;16
'050203C0100;0;0;0;311;14;115;5;4;75;7;81;2;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;6;311;311;567;16
'050204B0100;310;298;2;300;11;142;4;3;65;5;60;5;1;0;0;0;1;3;300;300;594;16
'050204C0100;302;304;2;304;7;142;9;4;63;5;64;3;2;0;0;0;0;5;304;304;593;16
'050205B0100;240;398;0;398;18;177;13;0;101;8;64;3;1;0;1;SIN DATO;1;11;398;398;622;16
'050206B0100;280;349;2;351;14;146;2;1;99;13;0;3;1;0;0;0;0;15;351;294;615;16
'050206C0100;291;333;7;340;13;130;4;3;99;10;64;5;2;0;0;0;0;5;340;335;614;16
'050207B0100;717;411;4;414;22;164;9;2;90;16;96;6;1;0;6;0;1;7;414;420;701;16
'050207C0100;0;0;0;0;10;171;9;1;77;13;89;6;SIN DATO;SIN DATO;SIN DATO;SIN DATO;329;5;710;710;701;16
