CLAVE_CASILLA;TOTAL_BOLETAS_SOBRANTES;TOTAL_PERSONAS_VOTARON;TOTAL_REP_PARTIDO_CI_VOTARON;TOTAL_VOTOS_SACADOS;PAN;PRI;PRD;PVEM;PT;UDC;MORENA;C_PAN_PRI_PRD;C_PAN_PRI;C_PAN_PRD;C_PRI_PRD;C_PVEM_UDC;NO_REGISTRADAS;NULOS;TOTAL_VOTOS_ASENTADO;TOTAL_VOTOS_CALCULADO;LISTA_NOMINAL;REPRESENTANTES_PP_CI
'050518B0100;305;301;2;303;15;128;5;2;74;5;60;2;3;0;0;0;0;9;303;303;592;16
'050518C0100;290;318;0;0;17;126;0;2;91;4;55;4;2;0;0;1;0;11;315;313;592;16
'050518C0200;314;290;3;293;10;128;4;2;71;3;66;3;2;0;0;0;0;4;293;293;591;16
'050518C0300;276;328;2;330;13;148;3;4;86;4;64;2;1;0;0;0;0;5;330;330;591;16
'050519B0100;262;254;2;257;16;93;9;2;46;7;65;4;1;0;0;2;2;10;257;257;504;16
'050519C0100;274;243;2;245;8;95;7;4;40;6;70;4;0;0;0;2;0;9;245;245;503;16
'050520B0100;351;194;5;294;8;151;5;2;50;9;69;6;5;SIN DATO;SIN DATO;1;SIN DATO;7;313;313;633;16
'050521B0100;277;210;2;212;7;84;1;6;43;12;49;3;2;0;0;2;0;3;212;212;473;16
'050522B0100;430;302;0;302;18;112;6;7;44;16;85;7;4;0;0;0;0;3;302;302;716;16
'050522C0100;411;321;3;321;24;125;18;7;45;12;73;4;2;0;1;2;0;8;321;321;716;16
'050522C0200;426;303;3;306;21;126;14;7;45;5;65;5;1;1;2;2;0;12;306;306;716;16
'050523B0100;169;169;2;171;13;62;1;2;41;6;39;2;SIN DATO;SIN DATO;1;SIN DATO;SIN DATO;SIN DATO;130;167;324;16
'050526B0100;278;256;4;260;10;118;6;1;83;5;28;3;2;0;0;0;0;4;260;260;522;16
'050526C0100;267;269;1;270;1;134;5;0;86;3;29;2;2;0;0;1;0;7;270;270;521;16
'050526C0200;308;225;4;229;7;94;6;1;71;0;42;0;2;0;0;0;0;6;229;229;521;16
'050527B0100;311;295;2;297;14;123;13;2;109;0;22;4;2;0;0;0;0;8;297;297;592;16
'050527C0100;322;283;2;285;13;126;6;1;103;3;21;2;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;285;285;591;16
'050528B0100;192;117;1;118;2;101;2;1;2;0;5;1;2;0;1;0;0;1;118;118;294;16
'050529B0100;105;44;4;48;0;24;7;0;7;0;8;0;0;0;0;0;0;2;48;48;137;16
'050529E0100;59;48;3;48;1;31;1;0;4;1;10;33;32;2;32;1;0;0;48;148;91;16
'050530B0100;144;117;0;117;3;83;1;0;22;0;5;1;1;0;1;0;0;0;117;117;245;16
'050531B0100;90;35;35;35;1;19;SIN DATO;SIN DATO;10;1;4;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;0;35;109;16
'050532B0100;311;350;3;353;4;184;5;4;114;1;28;6;0;0;0;0;0;7;353;353;648;16
'050532C0100;335;327;1;328;2;159;1;SIN DATO;122;1;30;3;2;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;328;320;648;16
'050534B0100;154;76;1;77;4;31;0;1;27;1;3;3;0;0;0;0;0;1;77;71;215;16
'050535B0100;121;79;0;79;1;53;0;1;16;0;7;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;79;78;184;16
'050536B0100;126;93;3;96;0;26;1;0;41;0;23;2;0;0;0;0;0;3;96;96;206;16
'050537B0100;91;101;0;101;2;40;1;0;44;0;14;0;0;0;0;0;0;0;101;101;176;16
'050539B0100;245;235;1;236;4;154;1;2;60;0;9;4;0;0;0;0;0;2;236;236;465;16
'050540B0100;249;252;2;254;1;155;1;2;62;2;22;0;4;0;0;0;0;5;254;254;487;16
'050540C0100;239;261;2;263;1;145;0;2;77;1;18;7;3;0;1;0;0;8;263;263;486;16
'050542B0100;377;387;1;388;4;169;4;4;116;14;59;3;1;1;SIN DATO;SIN DATO;SIN DATO;13;388;388;749;16
'050542C0100;386;374;4;0;8;165;9;5;99;9;60;7;SIN DATO;SIN DATO;SIN DATO;1;SIN DATO;15;378;378;748;16
'050542C0200;373;387;4;391;7;166;1;7;115;9;70;4;5;0;1;0;0;6;391;391;748;16
'050542C0300;370;389;5;394;9;167;8;3;102;12;64;12;5;0;1;1;0;10;394;394;748;16
'050542C0400;368;392;4;396;8;178;5;2;117;7;59;7;2;0;0;0;0;10;396;395;748;16
'050543B0100;244;373;2;375;14;167;8;3;114;5;52;3;1;0;1;1;0;6;375;375;604;16
'050543C0100;250;365;5;369;17;146;5;4;137;3;50;0;1;0;0;0;0;6;369;369;604;16
'050543C0200;271;347;2;349;8;140;3;4;129;7;44;4;2;0;0;2;0;6;349;349;604;16
'050543C0300;253;366;5;367;9;136;7;2;132;5;58;6;0;0;0;0;0;12;367;367;604;16
'050543S0100;333;677;0;676;27;319;6;7;161;23;105;16;SIN DATO;SIN DATO;SIN DATO;1;SIN DATO;11;676;676;0;16
'050544B0100;271;358;4;362;6;146;5;3;113;13;65;1;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;9;362;362;617;16
'050544C0100;274;356;2;358;7;146;2;6;116;8;58;1;4;0;0;0;0;10;358;358;616;16
'050545B0100;0;343;4;347;8;138;5;6;11;8;50;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;SIN DATO;11;337;237;630;16
'050545C0100;0;0;0;0;3;147;3;4;117;12;65;2;1;SIN DATO;SIN DATO;SIN DATO;SIN DATO;13;367;367;630;16
'050545C0200;296;345;4;349;11;155;22;5;96;11;50;5;1;0;0;0;0;13;349;369;629;16
